"allspice","f",
"almond","f",
"all-purpose flour","f",
"amaretti","f",
"anchovy","f",
"anise","f",
"apple juice","f",
"artichoke","f",
"artichoke heart","f",
"artichoke","f",
"asparagus","f",
"asparagus spear","f","asparagus"
"aubergine","f",
"avocado","f",
"bacon","f",
"baguette","f",
"baked beans","f",
"balsamic vinegar","c",
"bamboo","f",
"banana","f",
"bap","f",
"basil","f",
"bay leaf","c",
"bay leaves","c","bay leaf"
"bean","f",
"beef","f",
"beef mince","f",
"beef brisket","f",
"beef stock","c",
"bell pepper","f",
"berry","f",
"berries","f","berry"
"bicarbonate of soda","f",
"biscuit","f",
"biscuit","f",
"black olive","f",
"black pepper","c",
"black-eyed peas","f",
"blueberries","f","blueberry"
"blueberry","f",
"bonnet chilli","f",
"bouillon","f",
"bourbon","f",
"braising steak","f",
"bran","f",
"brandy","f",
"bread","f",
"breadcrumbs","f",
"bbq sauce","c",
"habanero sauce","c",
"brie","f",
"brine","f",
"broccoli","f",
"brown rice","f",
"brown sauce","c",
"brown sugar","f",
"buckwheat","f",
"buffalo","f",
"bun","f",
"butter","f",
"buttermilk","f",
"butternut","f",
"butternut squash","f",
"butterscotch","f",
"cabbage","f",
"cake","f",
"candy","f",
"candies","f","candy"
"cannellini","f",
"canola oil","f",
"caper","f",
"caramel","f",
"caraway seed","c",
"cardamom","c",
"carrot","f",
"carrot","f",
"cashew","f",
"caster sugar","f",
"cayenne pepper","c",
"celeriac","f",
"celery","f",
"cereal","f",
"champagne","f",
"chard","f",
"cheddar cheese","f",
"cheese","f",
"cherries","f","cherry"
"cherry","f",
"cherry tomatoe","f",
"chestnut","f",
"chicken","f",
"chicken breast","f",
"chicken drumstick","f",
"chicken stock","c",
"chicken thigh","f",
"chicken leg","f",
"chicken","f",
"chickpea","f",
"chicory","f",
"chile","f",
"chilli","f",
"chillies","f","chilli"
"chipotle","f",
"chip","f",
"chive","c",
"chive","c",
"chocolate","f",
"chop","f",
"choy","f",
"chutney","c",
"ciabatta","f",
"cider","f",
"cinnamon","c",
"clam","f",
"clarified butter","f",
"clove","c",
"cocoa","f",
"coconut","f",
"orange essence","c",
"almond essence","c",
"coconut milk","f",
"cod","f",
"coffee","c",
"coleslaw","f",
"condensed milk","f",
"coriander","f",
"coriander leaves","f",
"corn","f",
"cornflour","f",
"cornmeal","f",
"courgette","f",
"couscous","f",
"cranberries","f","cranberry"
"cranberry","f",
"cranberry juice","f",
"cream","f",
"single cream","f",
"double cream","f",
"sour cream","f",
"crﾏme fraiche","f",
"crisp","f",
"crust","f",
"creme de cassis","c",
"cucumber","f",
"cumin","c",
"custard","f",
"dijon mustard","c",
"dill","c",
"duck","f",
"edamame bean","f",
"egg","f",
"espresso","f",
"fennel","f",
"feta","f",
"fig","f",
"fillet steak","f",
"filo pastry","f",
"fish","f",
"flank","f",
"flour","f",
"focaccia","f",
"foie gras","f",
"fruit","f",
"fudge","f",
"garam masala","f",
"garlic","f",
"gelatine","f",
"gin","c",
"ginger","c",
"glucose","f",
"goat","f",
"goat's cheese","f",
"golden syrup","f",
"gorgonzola","f",
"gouda","f",
"grape","f",
"grapefruit","f",
"grape","f",
"grapeseed","f",
"green olive","f",
"green pepper","f",
"green","f",
"gruyere","f",
"gruyere cheese","f",
"haddock","f",
"ham","f",
"harissa","c",
"herbs","c",
